graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,RAM type,CPU clock speed (GHz),CPU model,drive memory size (GB),warranty,screen size,buynow_price,gps,nfc,wifi,lte,bluetooth,wwan,widi,lan,keyboard,illuminated keyboard,touchpad,numeric keyboard,camera,microphone,SD card reader,speakers
1,3,2,0.6666666666666667,0,3,2,2.0,5,0.0417335473515248,1,4,3132.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
1,3,2,0.4,5,3,1,2.0,5,0.0176565008025682,1,4,2549.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.4,4,3,2,2.5,7,0.0449438202247191,1,3,3449.0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,3,4,0.4,4,1,2,2.8,9,0.1942215088282504,1,4,7499.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
1,3,2,0.1333333333333333,4,3,0,2.0,5,0.0898876404494382,1,4,2949.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,2,2,0.1333333333333333,4,3,2,2.5,7,0.0417335473515248,1,5,2789.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
1,1,4,0.4,4,1,0,2.16,2,0.1942215088282504,0,4,1699.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,2.0,4,3,2,2.8,9,0.0417335473515248,1,4,4949.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,0.4,4,4,2,2.5,7,0.2455858747993579,1,4,6899.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
1,3,2,0.4,0,3,2,2.5,7,0.0449438202247191,1,3,3979.0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,4,0.9333333333333332,5,1,1,1.8,4,0.1942215088282504,1,4,2319.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,0,3,2,2.4,5,0.0192616372391653,1,4,2049.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.9333333333333332,4,4,1,2.5,9,0.2199036918138041,1,4,3199.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.1333333333333333,4,1,2,2.0,5,0.1942215088282504,1,4,1899.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
0,1,2,0.4,4,3,0,2.16,1,0.0449438202247191,1,4,1754.38,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,3,2,2.4,5,0.0192616372391653,1,3,2819.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
1,3,4,0.4,3,3,2,2.3,7,0.0192616372391653,1,4,3499.0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1
1,3,2,0.9333333333333332,4,4,0,2.5,9,0.3459069020866773,1,5,4199.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,0,4,2,2.6,9,0.2455858747993579,1,5,3933.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.4,4,3,2,2.5,7,0.0437399678972712,1,4,3849.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.4,0,1,2,2.8,9,0.1942215088282504,1,4,5639.0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.9333333333333332,4,4,2,2.8,9,0.2455858747993579,1,4,4839.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,3,2,0.4,4,1,1,2.3,7,0.1942215088282504,1,4,2900.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,0,1,2,2.8,9,0.1942215088282504,1,4,4731.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,2,0.1333333333333333,4,1,2,2.4,5,0.1942215088282504,1,3,2659.0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,1,2,0.1333333333333333,4,1,0,2.2,7,0.1942215088282504,0,4,1709.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,4,0.1333333333333333,4,2,0,1.8,4,0.0955056179775281,1,3,1649.0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1
1,3,4,0.6666666666666667,4,4,2,2.8,9,0.2455858747993579,1,4,4599.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,2.0,0,4,2,2.8,9,0.2443820224719101,1,4,6949.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1
1,3,2,0.4,4,1,1,2.3,7,0.0939004815409309,1,3,2799.0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,4,0.6666666666666667,4,1,2,2.5,10,0.1942215088282504,1,4,2400.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,4,3,2,1.8,9,0.0449438202247191,1,4,3399.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0
1,11,4,0.4,4,4,2,2.8,9,0.1942215088282504,1,4,6419.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
1,3,4,0.9333333333333332,4,4,2,2.8,9,0.1942215088282504,1,4,5219.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,3,4,0.4,4,2,0,2.6,9,0.1942215088282504,0,4,3599.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,2,0.4,4,3,2,2.3,5,0.0417335473515248,1,4,2099.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,5,3,2,2.8,9,0.0963081861958266,1,3,7974.24,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1
0,1,2,0.1333333333333333,4,3,0,2.6,7,0.0192616372391653,1,4,2719.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,3,2,0.4,4,3,0,2.3,9,0.0449438202247191,1,4,3489.0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1
0,3,2,0.4,4,3,0,2.3,7,0.0176565008025682,1,4,2477.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.0,4,3,0,1.6,1,0.0,1,0,949.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
1,1,2,0.1333333333333333,0,1,2,2.8,7,0.1942215088282504,1,4,2499.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.9333333333333332,0,3,2,2.6,9,0.0176565008025682,1,5,4129.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,0.6666666666666667,0,4,2,2.8,9,0.2969502407704655,1,4,5914.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,3,3,0.4,4,3,2,2.8,9,0.0417335473515248,1,4,6099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,0.4,5,3,0,1.9,7,0.0449438202247191,0,1,2225.15,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,3,4,0.9333333333333332,4,3,2,2.3,7,0.0939004815409309,1,5,4499.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.9333333333333332,0,3,2,2.5,7,0.0417335473515248,1,4,4199.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,3,4,0.6666666666666667,4,3,1,2.6,9,0.0417335473515248,1,5,3928.99,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,2,0.2666666666666667,4,1,0,2.2,7,0.0939004815409309,0,4,1619.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,4,2,2.4,5,0.2199036918138041,1,4,2549.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.6666666666666667,0,4,2,2.8,9,0.2199036918138041,1,4,6109.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
0,3,2,0.6666666666666667,4,3,2,2.0,5,0.0417335473515248,1,4,2529.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,1,2,0.9333333333333332,5,3,1,1.9,5,0.0417335473515248,1,4,2959.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,2,0.4,0,1,2,2.0,5,0.1942215088282504,1,4,1999.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.4,4,3,2,2.5,7,0.0449438202247191,1,3,3349.0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,0.4,4,1,2,2.8,9,0.1942215088282504,1,4,7551.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
1,3,4,0.1333333333333333,0,3,2,2.8,9,0.0898876404494382,1,4,4799.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,2,0.1333333333333333,4,1,2,2.7,9,0.1942215088282504,1,4,3199.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,3,4,0.1333333333333333,4,1,2,2.8,9,0.1942215088282504,1,4,3749.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,1,2,0.1333333333333333,2,3,1,1.9,5,0.0898876404494382,1,4,2549.01,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.6666666666666667,4,4,2,2.8,9,0.4462279293739968,1,4,5469.0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1
1,3,4,0.4,4,3,2,2.8,9,0.0417335473515248,1,4,4999.0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,2,0.1333333333333333,0,3,2,2.0,5,0.0417335473515248,1,4,2456.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,3,2,0.4,4,3,2,2.0,5,0.0417335473515248,1,4,2559.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
0,3,2,1.2,5,1,2,2.0,5,0.1942215088282504,1,4,2729.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,1,2,0.2666666666666667,4,1,0,1.7000000000000002,5,0.1942215088282504,0,4,1569.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.1333333333333333,4,1,2,2.3,5,0.1942215088282504,0,4,1549.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.4,4,3,2,2.5,7,0.0898876404494382,1,3,3679.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1
1,3,4,0.6666666666666667,4,4,2,2.8,9,0.2199036918138041,1,4,4409.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,2.0,4,1,2,2.6,9,0.1942215088282504,1,4,5940.0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1
0,3,2,2.0,5,4,2,2.5,7,0.3948635634028892,1,4,5379.0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,1,2,0.4,4,1,0,2.0,9,0.1942215088282504,0,4,2019.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.4,4,3,2,2.5,7,0.0417335473515248,1,4,2999.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,3,4,0.4,0,1,2,2.8,9,0.1942215088282504,1,4,3849.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,2,4,0.4,4,3,1,2.0,4,0.0192616372391653,1,5,1877.0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1
0,3,2,0.4,4,1,0,0.9,7,0.1942215088282504,1,4,1899.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,3,4,0.1333333333333333,4,1,2,2.8,9,0.1942215088282504,1,4,3749.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
0,3,2,0.1333333333333333,4,3,2,2.0,5,0.0176565008025682,1,4,2399.0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,3,2,0.4,5,3,2,2.7,9,0.0449438202247191,1,4,5699.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,2.0,0,1,2,2.6,9,0.1942215088282504,1,4,4499.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,2.0,4,4,2,2.8,9,0.2969502407704655,1,4,5679.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,2,0.4,0,3,2,2.3,7,0.0449438202247191,1,4,2399.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,0,3,2,1.6,7,0.0449438202247191,1,4,3549.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.1333333333333333,5,1,0,2.4,9,0.0939004815409309,0,3,2777.86,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,11,4,0.4,4,1,2,2.8,9,0.0898876404494382,1,4,6449.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
1,3,4,0.4,4,3,2,1.6,7,0.0449438202247191,1,3,3449.0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1
1,3,4,0.6666666666666667,4,3,2,2.8,9,0.1861958266452648,1,4,5309.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
0,3,2,0.1333333333333333,4,1,2,2.0,5,0.1942215088282504,1,4,1949.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1
1,3,4,0.9333333333333332,4,3,2,2.5,7,0.0449438202247191,1,4,5499.0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1
1,1,2,0.4,4,1,0,2.6,7,0.1942215088282504,0,4,2296.99,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,4,3,2,2.8,9,0.0898876404494382,1,4,4539.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
0,1,2,0.1333333333333333,4,1,0,1.6,1,0.0939004815409309,1,4,1299.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.6666666666666667,4,1,2,2.1,2,0.1942215088282504,0,4,1790.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,11,4,0.6666666666666667,0,4,2,2.8,9,0.2455858747993579,1,4,7749.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1
1,1,2,0.1333333333333333,5,4,2,2.5,7,0.2969502407704655,1,4,3379.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,0,3,2,2.8,9,0.0192616372391653,1,4,4019.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.4,3,1,0,2.1,0,0.1942215088282504,0,4,1647.5,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.9333333333333332,5,3,2,2.5,7,0.0417335473515248,1,4,3699.0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,3,2,0.6666666666666667,4,1,2,2.5,7,0.1942215088282504,1,4,3899.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,3,4,2.0,4,3,2,2.8,9,0.1861958266452648,1,4,6049.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
0,1,2,0.1333333333333333,4,3,0,2.6,7,0.0176565008025682,1,4,1849.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,2,0.4,4,4,0,2.7,9,0.3202247191011236,1,5,3845.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.1333333333333333,5,3,2,2.4,5,0.0192616372391653,1,4,2599.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
0,3,2,0.4,4,4,0,2.6,7,0.3202247191011236,1,4,2199.0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1
1,1,2,0.1333333333333333,0,3,0,2.6,7,0.0192616372391653,1,4,1999.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,1,2,0.4,4,1,0,2.3,7,0.1942215088282504,0,4,1899.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.4,0,4,2,2.6,9,0.2443820224719101,1,5,4049.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,3,2,0.1333333333333333,0,1,2,2.4,5,0.1942215088282504,1,4,2199.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,2,0.4,4,3,2,2.3,5,0.0176565008025682,1,4,2099.0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
1,2,2,0.1333333333333333,4,3,1,2.3,5,0.0417335473515248,1,5,3099.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,3,2,0.6666666666666667,5,3,1,2.2,7,0.0176565008025682,1,4,3179.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
0,3,2,0.4,4,3,2,2.4,5,0.0192616372391653,1,3,3209.0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
0,1,2,0.9333333333333332,5,3,0,2.2,7,0.0898876404494382,1,4,3749.0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.9333333333333332,0,4,2,2.6,9,0.218298555377207,1,5,4099.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,1,2,0.6666666666666667,5,3,1,1.9,5,0.0176565008025682,1,4,2428.99,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,2.0,4,3,2,2.3,7,0.0417335473515248,1,5,5693.0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,0.4,4,3,2,2.3,7,0.0417335473515248,1,5,3749.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,2.0,5,4,2,2.3,7,0.2199036918138041,1,4,4399.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.9333333333333332,0,4,2,2.8,9,0.2199036918138041,1,4,5225.0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,4,0.1333333333333333,4,3,0,1.1,2,0.0192616372391653,1,4,1828.74,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
1,3,4,0.9333333333333332,4,4,2,2.6,9,0.2199036918138041,0,4,3212.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,2.0,5,4,2,2.5,7,0.3948635634028892,1,4,5379.0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
1,3,4,0.4,4,1,2,2.6,9,0.1942215088282504,1,4,3799.0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,2,0.4,4,4,2,2.7,9,0.2199036918138041,1,4,3699.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,2,0.1333333333333333,5,3,2,2.0,5,0.0417335473515248,1,4,2479.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
0,1,2,0.1333333333333333,4,1,2,2.3,5,0.1942215088282504,0,4,1549.0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
0,3,2,0.9333333333333332,5,3,2,2.8,9,0.0963081861958266,1,3,8199.0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1,11,4,0.4,0,3,2,2.8,9,0.0417335473515248,1,4,7224.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1
1,3,4,2.0,0,3,2,2.5,7,0.0417335473515248,1,4,7399.0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
0,1,4,0.4,4,1,0,2.1,0,0.1958266452648475,0,4,1819.0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1
0,1,2,0.4,5,3,2,2.0,5,0.0898876404494382,1,4,2929.0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
1,1,2,0.4,4,1,0,2.6,7,0.1942215088282504,1,4,3249.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,3,4,0.4,0,3,2,2.5,7,0.0437399678972712,1,4,3587.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,2.0,5,4,2,2.3,7,0.2455858747993579,1,4,4599.0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,3,4,0.6666666666666667,0,3,2,2.5,7,0.1861958266452648,1,4,5059.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
0,1,2,0.4,5,3,0,2.6,7,0.0417335473515248,1,4,2839.0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
1,3,4,0.6666666666666667,4,3,2,2.5,7,0.0417335473515248,1,4,5499.0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1
1,2,2,0.4,4,1,2,2.5,7,0.1942215088282504,1,5,2739.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
1,3,2,0.4,4,3,2,2.5,7,0.0898876404494382,1,4,4239.0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
