graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,RAM type,CPU clock speed (GHz),CPU model,drive memory size (GB),warranty,screen size,buynow_price,bluetooth,wifi,widi,nfc,lan,gps,lte,wwan,keyboard,touchpad,numeric keyboard,illuminated keyboard,speakers,SD card reader,microphone,camera
0,1,2,4,4,3,0,1.6,1,0.02086677367576244,1,4,1499.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,4,2,2.5,7,0.12279293739967898,1,4,4449.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,4,8,4,1,0,1.1,1,0.046950240770465494,1,4,1679.0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,3,2,1.6,7,0.009630818619582664,1,4,3199.0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1
0,3,2,12,4,4,2,2.5,7,0.12118780096308186,1,4,3399.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,4,4,2,2.6,9,0.12279293739967898,1,5,4537.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,1,2,2.5,7,0.0971107544141252,1,4,2999.0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,2,3899.0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1
1,3,4,8,0,3,2,2.6,9,0.00882825040128411,1,5,3779.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,16,0,4,2,2.8,9,0.12219101123595505,1,4,6299.0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1
0,1,2,8,3,3,0,2.24,9,0.009630818619582664,1,4,2499.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,3,2,2.8,9,0.09309791332263243,1,4,7988.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,4,4,4,1,1,1.8,4,0.0971107544141252,1,4,1619.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,4,2,4,0,0,1.6,1,0.0032102728731942215,1,0,499.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,3,2,4,4,3,2,2.0,5,0.00882825040128411,1,4,2049.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,12,4,3,2,2.5,7,0.046950240770465494,1,4,7199.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,3,4,32,4,3,2,2.6,9,0.046950240770465494,1,5,5499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,16,3,1,0,2.4,9,0.0971107544141252,1,5,3335.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,4,2,2.8,9,0.10995184590690209,1,4,4699.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,2,4,4,3,0,1.7000000000000002,7,0.009630818619582664,0,4,1799.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,2,2,8,2,3,0,2.1,2,0.09309791332263243,1,5,3269.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,12,4,3,2,2.5,7,0.02086677367576244,1,4,4133.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,2,4,4,3,0,2.5,9,0.02247191011235955,0,4,2649.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,12,4,3,2,2.4,5,0.04494382022471911,1,4,3189.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
1,3,4,12,4,3,1,2.6,9,0.02086677367576244,1,5,3928.99,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,4,2,2.5,7,0.10914927768860352,1,4,3499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,8,4,3,2,2.8,9,0.02086677367576244,1,4,4209.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,8,4,3,2,2.0,5,0.046950240770465494,1,4,3418.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,2,2.4,5,0.02247191011235955,1,2,3399.0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,16,4,3,2,2.5,7,0.04494382022471911,1,4,3979.0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1
1,3,4,16,0,3,2,2.5,7,0.02086677367576244,1,4,6611.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
0,1,2,8,4,3,0,2.6,7,0.09309791332263243,1,4,3749.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
1,3,4,12,0,4,2,2.8,9,0.12279293739967898,1,4,6369.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,2,4,4,3,0,1.6,1,0.02086677367576244,1,4,1599.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,1,2.6,9,0.02247191011235955,1,3,5299.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,8,4,3,0,1.7000000000000002,2,0.02247191011235955,0,4,1779.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,3,2,2.8,9,0.046950240770465494,1,4,4499.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,32,4,4,2,2.8,9,0.12219101123595505,1,4,6599.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,12,4,3,2,2.5,7,0.04494382022471911,1,4,4159.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,2,2,8,4,1,2,2.7,9,0.0971107544141252,0,5,2670.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,4,8,3,1,0,2.2,6,0.046950240770465494,1,4,3000.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,7,4,8,0,1,2,2.8,9,0.0971107544141252,1,4,7374.0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1
1,3,2,12,4,3,2,2.4,5,0.009630818619582664,1,4,2599.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,12,4,3,2,2.0,5,0.00882825040128411,1,4,3576.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,4,20,4,3,2,1.6,7,0.09309791332263243,1,4,4849.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,3,2,2.5,7,0.02086677367576244,1,4,3779.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,1,2,8,4,1,0,1.7000000000000002,2,0.0971107544141252,0,4,1479.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,4,3,2,2.8,9,0.09309791332263243,1,4,6774.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,1,2,6,4,3,0,2.0,9,0.02247191011235955,0,4,2069.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,0,2.7,9,0.02247191011235955,1,3,7599.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
1,3,4,8,4,4,2,2.8,9,0.10995184590690209,1,4,7749.0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,3,4,32,4,4,2,2.8,9,0.2102728731942215,1,4,5699.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,1,2,4,0,3,0,2.6,7,0.02086677367576244,1,4,2199.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,2,8,4,1,2,2.5,7,0.0971107544141252,1,4,2699.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,4,4,1,2,2.0,5,0.0971107544141252,1,4,1899.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,1,2,2.6,9,0.0971107544141252,1,4,3799.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,2,2,8,4,3,0,2.5,7,0.009630818619582664,1,5,2885.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,12,4,3,2,2.0,5,0.021869983948635634,1,4,2949.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,1,2,3.9,5,0.0971107544141252,1,4,2299.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,2,6,4,3,0,2.16,1,0.02247191011235955,0,4,1509.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,4,4,0,1,1,2.0,4,0.0971107544141252,1,4,1499.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,8,4,1,0,2.16,1,0.0971107544141252,1,4,1451.05,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,6,4,3,0,2.5,9,0.02247191011235955,0,4,2709.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,16,4,3,2,2.7,9,0.048154093097913325,1,3,7499.0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1
1,1,2,8,4,3,0,2.6,7,0.02086677367576244,1,4,3860.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,2,12,0,3,2,2.0,5,0.04494382022471911,1,4,3368.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
0,3,2,4,4,2,0,1.9,5,0.046950240770465494,0,1,1859.24,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,2,16,0,4,2,2.7,9,0.12279293739967898,1,4,3999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,2,2.5,7,0.02086677367576244,1,4,3299.0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1
1,3,4,32,4,4,2,2.8,9,0.14847512038523275,1,4,8111.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,12,4,3,2,2.5,7,0.00882825040128411,1,4,3678.0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
1,3,4,16,0,1,2,2.8,9,0.0971107544141252,1,4,5083.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,8,4,3,2,2.8,9,0.02247191011235955,1,3,6723.4,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,2,20,4,3,2,2.5,7,0.02086677367576244,1,4,3899.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,16,4,3,1,2.6,9,0.02086677367576244,1,5,4709.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,8,4,1,0,2.6,7,0.0971107544141252,1,4,2982.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,2,4,4,3,0,1.6,7,0.009630818619582664,0,2,1645.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,2,2,6,4,1,0,2.2,7,0.046950240770465494,0,5,2359.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,4,4,2,2.3,7,0.14847512038523275,1,4,4499.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,4,12,4,3,2,2.5,7,0.02247191011235955,1,4,4399.0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
1,3,4,16,4,3,2,2.8,9,0.09309791332263243,1,4,7449.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,3,4,32,0,4,2,2.8,9,0.12219101123595505,1,4,6099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,1,0,2.3,7,0.0971107544141252,1,4,2399.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,3,2,2.5,7,0.02086677367576244,1,4,3949.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,16,0,3,2,2.5,7,0.04494382022471911,1,4,5099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,12,4,4,2,2.8,9,0.12279293739967898,1,4,6386.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
1,3,4,32,4,4,2,2.7,9,0.12279293739967898,1,5,8600.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,1,2,2.4,5,0.0971107544141252,1,3,2429.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,2,4,8,3,1,0,2.16,2,0.0971107544141252,1,5,1349.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,0,3,2,2.8,9,0.02086677367576244,1,4,6304.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,3,2,4,4,1,2,2.5,7,0.0971107544141252,1,4,2449.0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1,3,4,32,4,4,2,2.6,9,0.1472712680577849,1,4,5549.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,12,2,3,1,2.1,2,0.09309791332263243,1,4,3199.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,3,2,2.5,7,0.021869983948635634,1,4,4883.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,8,0,1,2,2.8,9,0.0971107544141252,1,4,3469.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,1,2,8,4,1,1,2.6,7,0.0971107544141252,1,4,2499.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1
1,1,2,4,4,3,0,1.7000000000000002,2,0.02247191011235955,0,4,1719.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,2,0,1.6,7,0.0971107544141252,0,4,1906.18,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,8,4,3,0,1.7000000000000002,5,0.02247191011235955,0,4,1779.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,1,2,2.5,7,0.0971107544141252,1,4,2419.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1
1,1,2,8,0,3,0,2.6,7,0.02086677367576244,1,4,3197.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,2,4,4,1,0,2.1,2,0.0971107544141252,1,5,1919.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,4,4,1,2,2.9,4,0.0971107544141252,1,4,1499.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
0,3,2,4,4,1,2,2.3,5,0.0971107544141252,0,4,1669.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,1,5199.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,0,3,2,2.8,9,0.02086677367576244,1,4,4349.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,8,2,3,1,2.1,2,0.00882825040128411,1,4,2049.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,4,3,2,2.8,9,0.02086677367576244,1,4,5849.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,1,2,8,4,1,1,2.6,7,0.0971107544141252,1,4,2499.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1
1,1,2,16,2,3,1,1.9,5,0.09309791332263243,1,4,3849.01,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,6,4,3,0,1.7000000000000002,5,0.009630818619582664,0,4,1509.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.8,9,0.12279293739967898,1,4,6382.0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1
0,1,2,16,2,3,1,2.1,2,0.04494382022471911,1,4,2999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,4,4,1,0,2.3,5,0.046950240770465494,1,3,2599.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,1,2,4,4,1,1,2.6,7,0.0971107544141252,1,4,2175.0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
1,3,4,16,4,1,2,2.8,9,0.19743178170144463,1,4,5836.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,8,3,3,2,2.3,7,0.009630818619582664,1,4,3249.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,4,0,2.3,7,0.10995184590690209,1,5,2699.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,2,2,4,4,3,2,2.0,5,0.00882825040128411,1,5,2469.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,16,0,4,2,2.5,7,0.12219101123595505,1,4,4099.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,12,4,3,0,2.6,9,0.048154093097913325,0,3,4031.24,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,8,0,3,2,2.3,7,0.04494382022471911,1,5,3849.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,12,4,3,2,2.4,5,0.02086677367576244,1,4,2699.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,8,4,1,0,2.5,9,0.046950240770465494,1,4,2999.0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
0,2,2,8,4,3,0,1.6,7,0.02247191011235955,0,3,2519.78,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,1,0,2.5,9,0.1472712680577849,1,5,2999.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,4,3870.44,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,3,3899.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,16,4,1,0,2.6,9,0.0971107544141252,0,5,3390.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,3,2,2.4,5,0.009630818619582664,1,4,2949.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
0,3,2,8,4,3,2,2.7,9,0.02247191011235955,1,1,6169.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,2,2.0,5,0.02086677367576244,1,4,2469.0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,2,4,4,4,2,2.3,7,0.10914927768860352,1,4,2599.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,8,4,4,2,2.5,7,0.12279293739967898,1,4,4199.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,8,4,3,0,2.16,1,0.009630818619582664,0,4,1369.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,7,4,32,0,4,2,2.8,9,0.10995184590690209,1,4,8649.0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1
1,1,2,4,2,3,0,2.2,7,0.02086677367576244,1,4,2759.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,4,8,4,3,0,1.8,4,0.02247191011235955,0,4,1689.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,2,2,4,4,3,0,2.3,7,0.009630818619582664,0,5,2461.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,1,2,8,4,1,0,2.1,5,0.046950240770465494,0,4,1469.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,12,4,3,2,1.6,7,0.02247191011235955,1,4,3649.0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
0,2,4,8,4,3,1,2.0,4,0.02247191011235955,1,5,1977.0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
1,1,2,4,4,3,2,2.5,7,0.048154093097913325,1,3,4399.0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
1,3,4,12,0,3,2,2.8,9,0.09309791332263243,1,4,6988.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
0,3,2,4,4,3,0,2.3,7,0.02247191011235955,0,3,3326.43,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,6,4,4,0,2.5,7,0.1601123595505618,1,5,2349.0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1
0,3,2,4,4,1,2,2.4,5,0.0971107544141252,1,3,2169.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,32,4,3,2,2.8,9,0.04494382022471911,1,4,5699.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,16,4,3,2,2.3,7,0.02247191011235955,1,5,4119.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,16,4,3,2,2.8,9,0.02086677367576244,1,4,6031.0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1
1,3,4,12,0,4,2,2.6,9,0.10914927768860352,1,5,4039.0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
1,3,4,16,4,4,2,2.3,7,0.10914927768860352,1,5,4099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,12,4,4,2,2.8,9,0.2231139646869984,1,4,6239.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
1,1,2,4,4,1,1,2.0,5,0.0971107544141252,1,4,2050.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,0,4,2,2.5,7,0.1472712680577849,1,4,5199.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,12,4,3,0,2.5,7,0.009630818619582664,0,4,2530.71,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,3,2,12,4,3,2,2.4,5,0.02086677367576244,1,4,2599.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
0,1,2,4,4,1,0,1.83,1,0.046950240770465494,1,3,799.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,4,8,4,4,2,2.5,7,0.10995184590690209,1,4,4099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,2,8,4,1,2,2.3,5,0.0971107544141252,0,4,1750.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,1,4,8,0,3,1,2.0,4,0.04494382022471911,1,4,2099.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1
1,3,4,32,4,4,2,2.5,7,0.10995184590690209,1,4,5289.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
1,3,4,16,4,4,2,2.6,9,0.12219101123595505,1,5,4999.0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,2,8,4,2,0,2.4,9,0.0971107544141252,0,3,2407.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,4,2,4,0,0,1.33,0,0.0032102728731942215,1,0,649.0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1
1,3,2,12,4,3,2,2.5,7,0.021869983948635634,1,4,3399.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,8,4,3,2,2.8,9,0.048154093097913325,1,4,8982.94,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
0,1,4,8,4,1,2,2.4,7,0.046950240770465494,1,3,2949.0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,12,0,3,2,2.4,5,0.04494382022471911,1,4,2799.0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
1,3,4,32,4,4,2,2.8,9,0.12279293739967898,1,4,5199.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
0,3,2,8,4,4,0,2.6,7,0.1601123595505618,1,4,2199.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
0,1,2,2,4,3,1,1.6,1,0.0,1,0,899.0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1
1,3,2,8,4,3,2,2.5,7,0.02247191011235955,1,3,3899.0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
0,3,2,8,4,3,0,2.5,7,0.02247191011235955,1,3,3499.0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
1,3,2,8,4,4,2,2.3,5,0.12219101123595505,1,4,3099.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
1,3,4,32,4,4,2,2.5,7,0.14847512038523275,1,4,5289.0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
1,3,4,8,0,4,2,2.6,9,0.10914927768860352,1,4,3749.0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
